0,0,20
0,1,23
0,2,23
0,3,23
0,4,23
0,5,23
0,6,23
0,7,23
0,8,23
0,9,23
0,10,23
0,11,23
0,12,23
0,13,23
0,14,23
0,15,23
0,16,23
0,17,23
0,18,23
0,19,23
0,20,23
0,21,23
0,22,23
0,23,23
0,24,23
0,25,23
0,26,23
0,27,23
0,28,23
0,29,23
0,30,23
0,31,26
1,0,21
1,1,24
1,2,25
1,3,25
1,4,25
1,5,25
1,6,25
1,7,25
1,8,25
1,9,25
1,10,25
1,11,25
1,12,25
1,13,25
1,14,25
1,15,25
1,16,25
1,17,25
1,18,25
1,19,25
1,20,25
1,21,25
1,22,25
1,23,25
1,24,25
1,25,25
1,26,25
1,27,25
1,28,25
1,29,25
1,30,24
1,31,27
2,0,21
2,1,27
2,2,3
2,3,3
2,4,3
2,5,3
2,6,3
2,7,3
2,8,3
2,9,3
2,10,3
2,11,3
2,12,3
2,13,3
2,14,3
2,15,3
2,16,3
2,17,3
2,18,3
2,19,3
2,20,3
2,21,3
2,22,3
2,23,3
2,24,3
2,25,3
2,26,3
2,27,3
2,28,3
2,29,3
2,30,21
2,31,27
3,0,21
3,1,27
3,2,3
3,3,5
3,4,1
3,5,1
3,6,1
3,7,1
3,8,1
3,9,1
3,10,1
3,11,1
3,12,1
3,13,1
3,14,1
3,15,1
3,16,7
3,17,7
3,18,1
3,19,1
3,20,1
3,21,1
3,22,1
3,23,1
3,24,1
3,25,1
3,26,1
3,27,1
3,28,5
3,29,3
3,30,21
3,31,27
4,0,21
4,1,27
4,2,3
4,3,1
4,4,29
4,5,31
4,6,1
4,7,1
4,8,29
4,9,31
4,10,1
4,11,1
4,12,29
4,13,31
4,14,1
4,15,1
4,16,29
4,17,31
4,18,1
4,19,1
4,20,29
4,21,31
4,22,1
4,23,1
4,24,29
4,25,31
4,26,1
4,27,1
4,28,29
4,29,31
4,30,21
4,31,27
5,0,21
5,1,27
5,2,3
5,3,1
5,4,30
5,5,32
5,6,1
5,7,1
5,8,30
5,9,32
5,10,1
5,11,1
5,12,30
5,13,32
5,14,1
5,15,1
5,16,30
5,17,32
5,18,1
5,19,1
5,20,30
5,21,32
5,22,1
5,23,1
5,24,30
5,25,32
5,26,1
5,27,1
5,28,30
5,29,32
5,30,21
5,31,27
6,0,21
6,1,27
6,2,3
6,3,1
6,4,1
6,5,1
6,6,1
6,7,1
6,8,6
6,9,6
6,10,1
6,11,1
6,12,1
6,13,1
6,14,1
6,15,1
6,16,1
6,17,1
6,18,8
6,19,10
6,20,1
6,21,1
6,22,1
6,23,1
6,24,1
6,25,1
6,26,1
6,27,1
6,28,1
6,29,3
6,30,21
6,31,27
7,0,21
7,1,27
7,2,3
7,3,1
7,4,1
7,5,1
7,6,1
7,7,1
7,8,6
7,9,6
7,10,1
7,11,1
7,12,1
7,13,1
7,14,1
7,15,1
7,16,1
7,17,1
7,18,9
7,19,11
7,20,1
7,21,1
7,22,1
7,23,1
7,24,1
7,25,1
7,26,1
7,27,1
7,28,5
7,29,3
7,30,21
7,31,27
8,0,21
8,1,27
8,2,3
8,3,1
